InvoiceNo,StockCode,ProductName,Category,Quantity,UnitPrice,TotalSales,InvoiceDate,CustomerID,CustomerName,Country,PaymentMethod
INV100001,P002,Keyboard,Electronics,1,25.5,25.5,2025-05-21 07:14:00,1189,Customer_1189,USA,Credit Card
INV100002,P009,Bluetooth Speaker,Electronics,2,39.99,79.98,2025-08-05 01:01:00,1151,Customer_1151,India,Debit Card
INV100003,P004,Laptop Stand,Accessories,9,35.0,315.0,2025-01-14 17:12:00,1154,Customer_1154,Germany,Net Banking
INV100004,P007,Monitor,Electronics,4,150.0,600.0,2025-10-29 08:51:00,1114,Customer_1114,India,Debit Card
INV100005,P007,Monitor,Electronics,6,150.0,900.0,2025-03-21 06:48:00,1071,Customer_1071,UK,Credit Card
INV100006,P002,Keyboard,Electronics,7,25.5,178.5,2025-07-03 11:38:00,1024,Customer_1024,UK,Credit Card
INV100007,P008,Power Bank,Accessories,9,29.99,269.91,2025-07-13 02:35:00,1031,Customer_1031,UK,Net Banking
INV100008,P006,Webcam,Electronics,10,55.0,550.0,2025-12-27 02:02:00,1049,Customer_1049,Germany,Debit Card
INV100009,P005,Headphones,Electronics,2,45.99,91.98,2025-02-21 12:17:00,1059,Customer_1059,Canada,UPI
INV100010,P003,USB Cable,Accessories,6,5.99,35.94,2025-04-18 21:17:00,1090,Customer_1090,Germany,Credit Card
INV100011,P010,Desk Lamp,Home,3,22.5,67.5,2025-05-06 05:29:00,1136,Customer_1136,Canada,UPI
INV100012,P009,Bluetooth Speaker,Electronics,4,39.99,159.96,2025-06-16 01:14:00,1175,Customer_1175,India,UPI
INV100013,P007,Monitor,Electronics,5,150.0,750.0,2025-04-19 18:56:00,1016,Customer_1016,Germany,UPI
INV100014,P004,Laptop Stand,Accessories,8,35.0,280.0,2025-11-26 14:09:00,1101,Customer_1101,UK,Debit Card
INV100015,P004,Laptop Stand,Accessories,9,35.0,315.0,2025-05-15 23:37:00,1137,Customer_1137,Canada,Net Banking
INV100016,P007,Monitor,Electronics,6,150.0,900.0,2025-03-12 16:31:00,1056,Customer_1056,India,Credit Card
INV100017,P002,Keyboard,Electronics,3,25.5,76.5,2025-03-23 21:27:00,1160,Customer_1160,Australia,Credit Card
INV100018,P007,Monitor,Electronics,7,150.0,1050.0,2025-08-28 16:16:00,1152,Customer_1152,Australia,Credit Card
INV100019,P002,Keyboard,Electronics,9,25.5,229.5,2025-05-17 20:21:00,1192,Customer_1192,India,UPI
INV100020,P007,Monitor,Electronics,3,150.0,450.0,2025-01-02 23:56:00,1116,Customer_1116,Germany,UPI
INV100021,P009,Bluetooth Speaker,Electronics,3,39.99,119.97,2025-02-24 20:19:00,1129,Customer_1129,Germany,Net Banking
INV100022,P010,Desk Lamp,Home,4,22.5,90.0,2025-07-11 05:34:00,1039,Customer_1039,Australia,Credit Card
INV100023,P010,Desk Lamp,Home,6,22.5,135.0,2025-01-10 03:59:00,1125,Customer_1125,UK,UPI
INV100024,P004,Laptop Stand,Accessories,1,35.0,35.0,2025-10-18 02:05:00,1061,Customer_1061,Germany,PayPal
INV100025,P002,Keyboard,Electronics,9,25.5,229.5,2025-03-06 04:42:00,1196,Customer_1196,Canada,Net Banking
INV100026,P003,USB Cable,Accessories,5,5.99,29.95,2025-11-07 13:13:00,1135,Customer_1135,Australia,Debit Card
INV100027,P005,Headphones,Electronics,7,45.99,321.93,2025-11-29 11:28:00,1171,Customer_1171,Australia,PayPal
INV100028,P002,Keyboard,Electronics,4,25.5,102.0,2025-02-02 10:01:00,1057,Customer_1057,Australia,Net Banking
INV100029,P004,Laptop Stand,Accessories,10,35.0,350.0,2025-01-04 02:45:00,1056,Customer_1056,Germany,Credit Card
INV100030,P004,Laptop Stand,Accessories,2,35.0,70.0,2025-06-19 02:32:00,1008,Customer_1008,USA,UPI
INV100031,P008,Power Bank,Accessories,4,29.99,119.96,2025-03-09 23:59:00,1138,Customer_1138,Australia,Net Banking
INV100032,P008,Power Bank,Accessories,4,29.99,119.96,2025-08-31 13:12:00,1200,Customer_1200,India,Credit Card
INV100033,P007,Monitor,Electronics,6,150.0,900.0,2025-07-30 14:55:00,1108,Customer_1108,Germany,Credit Card
INV100034,P002,Keyboard,Electronics,1,25.5,25.5,2025-06-23 03:15:00,1103,Customer_1103,USA,Debit Card
INV100035,P009,Bluetooth Speaker,Electronics,8,39.99,319.92,2025-08-05 05:17:00,1035,Customer_1035,Canada,Debit Card
INV100036,P002,Keyboard,Electronics,8,25.5,204.0,2025-02-20 01:41:00,1140,Customer_1140,Australia,Credit Card
INV100037,P002,Keyboard,Electronics,4,25.5,102.0,2025-07-28 15:30:00,1042,Customer_1042,USA,PayPal
INV100038,P001,Wireless Mouse,Electronics,3,15.99,47.97,2025-01-02 12:16:00,1097,Customer_1097,Canada,UPI
INV100039,P007,Monitor,Electronics,9,150.0,1350.0,2025-09-07 04:12:00,1169,Customer_1169,UK,Debit Card
INV100040,P001,Wireless Mouse,Electronics,10,15.99,159.9,2025-10-05 01:47:00,1188,Customer_1188,UK,Credit Card
INV100041,P001,Wireless Mouse,Electronics,10,15.99,159.9,2025-09-15 16:10:00,1122,Customer_1122,India,Net Banking
